,hh_median_income,hh_mean_income,perc_educ_highschool,perc_educ_bachelor,unemployment_rate,total_population,age_under_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_to_69,age_70_to_74,age_75_to_79,age_80_to_84,age_85_up,pop_white,pop_black,pop_native,pop_asian,pop_latino,zip_code
"ZCTA5 60970: Summary level: 860, zip code tabulation area:60970",22627.0,54298,42.4,7.4,3.4,6753,350,323,290,297,470,418,216,283,479,336,516,599,614,472,270,390,134,296,96.2,0.3,0.0,0.7,5.0,60970
"ZCTA5 62323: Summary level: 860, zip code tabulation area:62323",29167.0,75396,51.1,15.5,3.5,241,0,20,35,12,0,16,5,12,19,10,31,9,13,11,14,6,24,4,100.0,0.0,0.0,0.0,0.0,62323
"ZCTA5 60466: Summary level: 860, zip code tabulation area:60466",31456.0,62383,25.4,16.9,7.8,21909,875,1623,1425,1670,1068,1513,1353,1555,1771,1381,1674,1234,1561,1238,712,505,492,259,27.3,65.9,0.0,0.5,5.0,60466
"ZCTA5 60429: Summary level: 860, zip code tabulation area:60429",29758.0,72946,27.3,17.7,10.6,15108,801,934,1413,1140,916,1071,687,771,752,1226,1121,952,1017,629,709,413,163,393,14.6,83.5,0.4,0.5,5.7,60429
"ZCTA5 60461: Summary level: 860, zip code tabulation area:60461",50408.0,119252,14.5,23.0,10.3,4716,198,266,278,255,302,319,143,57,328,383,265,280,265,393,259,291,151,283,20.9,74.3,0.0,1.4,0.0,60461
"ZCTA5 60462: Summary level: 860, zip code tabulation area:60462",40846.0,104080,23.3,24.7,3.9,39784,2035,2331,2370,2125,1754,2269,2449,2410,2385,2376,2390,3110,2992,2981,2038,1320,1234,1215,88.7,5.6,0.0,3.1,7.9,60462
"ZCTA5 60470: Summary level: 860, zip code tabulation area:60470",35313.0,89897,49.1,3.8,4.7,542,18,15,66,19,31,41,40,24,32,50,55,59,27,12,19,8,13,13,99.1,0.0,0.0,0.0,6.6,60470
"ZCTA5 60481: Summary level: 860, zip code tabulation area:60481",29935.0,79218,41.4,8.6,4.1,11809,571,548,657,726,579,647,630,648,610,816,1086,1013,884,798,559,475,343,219,95.0,0.6,0.4,0.3,7.2,60481
"ZCTA5 60471: Summary level: 860, zip code tabulation area:60471",35368.0,69874,23.8,17.0,13.1,13917,672,706,1113,1332,1411,581,532,498,1036,1343,1155,875,1011,565,326,274,361,126,9.1,86.4,0.1,0.9,2.7,60471
"ZCTA5 60472: Summary level: 860, zip code tabulation area:60472",17500.0,40255,30.0,5.2,10.4,4904,287,224,380,208,333,568,369,278,285,244,184,407,332,259,215,82,117,132,10.4,86.8,0.0,0.4,8.6,60472
"ZCTA5 60479: Summary level: 860, zip code tabulation area:60479",31581.0,80735,37.9,14.0,1.8,925,31,44,100,84,59,34,18,80,118,30,51,81,107,13,38,18,13,6,99.9,0.0,0.0,0.0,4.1,60479
"ZCTA5 60124: Summary level: 860, zip code tabulation area:60124",51456.0,134416,22.9,25.6,3.9,22074,1647,1575,1145,1237,830,1396,1452,1232,1683,1268,1929,1519,1021,1552,1051,925,391,221,80.8,2.1,0.0,8.3,13.7,60124
"ZCTA5 60539: Summary level: 860, zip code tabulation area:60539",23643.0,-666666666,66.7,8.2,0.0,223,0,5,5,6,0,34,69,0,0,35,52,0,17,0,0,0,0,0,80.7,3.1,0.0,0.0,55.6,60539
"ZCTA5 60026: Summary level: 860, zip code tabulation area:60026",51441.0,178720,10.4,31.5,2.9,14021,716,905,1054,1154,332,345,888,535,1082,964,1141,831,915,855,598,685,343,678,75.0,1.4,0.0,20.2,6.8,60026
"ZCTA5 60051: Summary level: 860, zip code tabulation area:60051",40514.0,101403,32.4,19.9,4.9,22808,1328,1156,1327,1803,1394,1228,1208,1430,1584,1601,2024,2122,1474,1168,878,388,371,324,94.1,0.7,0.1,1.5,9.2,60051
"ZCTA5 60133: Summary level: 860, zip code tabulation area:60133",31562.0,85116,25.5,19.2,4.8,38113,2125,2965,3242,2819,3075,2663,2703,3043,2470,2674,2186,2238,2037,1515,1103,714,363,178,52.9,7.8,0.1,17.7,38.2,60133
"ZCTA5 60144: Summary level: 860, zip code tabulation area:60144",31250.0,59932,43.1,17.6,0.0,56,0,0,5,0,0,1,2,5,0,6,18,4,1,1,4,9,0,0,100.0,0.0,0.0,0.0,0.0,60144
"ZCTA5 60156: Summary level: 860, zip code tabulation area:60156",41926.0,107456,22.7,29.1,3.2,28809,1728,2159,2418,2395,2267,1718,1773,2220,2094,2396,2127,1744,1429,1136,645,329,130,101,88.2,2.2,0.1,6.4,12.1,60156
"ZCTA5 60169: Summary level: 860, zip code tabulation area:60169",36992.0,91150,22.2,27.9,4.0,33373,2321,1718,2143,2053,2435,2744,2673,2183,2224,2451,2188,2166,2157,1502,1068,505,407,435,53.3,5.6,0.4,22.3,24.4,60169
"ZCTA5 60189: Summary level: 860, zip code tabulation area:60189",50520.0,140235,9.1,37.9,3.7,29999,1942,2112,1855,1824,1532,2237,1742,1601,1804,1562,2050,2360,2517,2013,1248,786,420,394,84.2,4.1,0.0,6.8,6.0,60189
"ZCTA5 60403: Summary level: 860, zip code tabulation area:60403",29068.0,66508,31.3,14.8,4.6,18653,849,799,1031,1340,1456,1424,1201,1467,1330,1046,1048,1213,1015,1005,968,590,436,435,67.8,20.6,0.2,4.1,19.9,60403
"ZCTA5 60404: Summary level: 860, zip code tabulation area:60404",42791.0,120740,24.0,23.5,3.1,19028,1071,1257,1254,1432,970,1088,739,1126,1345,1488,1316,1235,1497,1137,732,657,287,397,86.4,4.9,0.1,2.3,13.1,60404
"ZCTA5 60428: Summary level: 860, zip code tabulation area:60428",25576.0,60272,32.7,11.1,15.8,12180,1051,804,1094,817,670,921,484,797,745,660,647,915,804,588,423,258,189,313,14.8,78.6,0.5,0.9,10.2,60428
"ZCTA5 60484: Summary level: 860, zip code tabulation area:60484",28133.0,61438,23.3,18.1,9.3,6423,580,483,409,449,365,697,478,492,237,458,388,379,363,264,148,63,141,29,9.4,85.3,0.0,0.2,4.4,60484
"ZCTA5 60487: Summary level: 860, zip code tabulation area:60487",48851.0,115088,22.6,28.5,3.7,26736,1697,1767,2101,1561,1431,1733,1457,1806,1491,1850,1913,2159,2130,1416,1148,407,367,302,84.8,3.8,0.0,8.3,8.4,60487
"ZCTA5 62419: Summary level: 860, zip code tabulation area:62419",29333.0,82365,31.4,4.6,5.8,185,8,1,6,6,11,8,8,14,6,7,18,18,24,15,23,6,5,1,100.0,0.0,0.0,0.0,0.0,62419
"ZCTA5 62446: Summary level: 860, zip code tabulation area:62446",28542.0,74578,35.3,9.9,0.0,372,28,15,14,18,14,31,15,11,16,33,13,40,27,34,23,20,6,14,94.6,2.2,0.0,0.0,1.9,62446
"ZCTA5 62448: Summary level: 860, zip code tabulation area:62448",27842.0,61127,41.7,11.1,2.6,5383,287,315,330,342,219,230,285,237,397,381,420,308,487,320,329,140,152,204,98.4,0.4,0.0,0.0,0.5,62448
"ZCTA5 62465: Summary level: 860, zip code tabulation area:62465",38295.0,81174,26.4,22.5,1.7,960,73,33,54,66,49,54,75,36,40,95,55,80,61,65,60,27,16,21,99.7,0.0,0.0,0.0,0.4,62465
"ZCTA5 62469: Summary level: 860, zip code tabulation area:62469",26827.0,66235,34.1,9.4,0.0,517,61,8,8,35,21,55,0,115,0,0,12,63,37,17,26,30,21,8,100.0,0.0,0.0,0.0,0.0,62469
"ZCTA5 62471: Summary level: 860, zip code tabulation area:62471",24183.0,60921,37.4,7.5,5.4,10306,588,458,529,525,813,754,786,708,632,705,604,909,634,412,482,363,206,198,89.1,9.4,0.6,0.4,3.9,62471
"ZCTA5 62477: Summary level: 860, zip code tabulation area:62477",21528.0,51825,34.6,11.0,5.6,732,36,51,41,43,53,33,16,54,49,56,53,59,46,14,68,13,30,17,94.5,5.5,0.0,0.0,0.0,62477
"ZCTA5 62478: Summary level: 860, zip code tabulation area:62478",35850.0,71338,34.3,10.3,3.4,409,7,35,43,18,6,2,18,35,30,40,31,24,65,13,18,8,7,9,99.5,0.2,0.0,0.0,0.2,62478
"ZCTA5 62481: Summary level: 860, zip code tabulation area:62481",23766.0,55382,55.6,4.9,6.5,485,56,47,39,10,27,23,0,3,53,30,36,47,40,16,24,16,12,6,69.3,2.1,0.6,0.0,0.0,62481
"ZCTA5 62515: Summary level: 860, zip code tabulation area:62515",34375.0,86547,42.1,19.3,7.7,1164,34,79,117,100,32,20,49,49,138,96,123,74,74,62,63,9,39,6,95.6,0.0,0.0,1.3,2.7,62515
"ZCTA5 62538: Summary level: 860, zip code tabulation area:62538",18971.0,60046,58.0,3.9,6.8,537,32,22,31,48,16,27,18,23,26,30,30,47,47,32,20,79,6,3,97.6,0.0,0.2,0.0,13.8,62538
"ZCTA5 62563: Summary level: 860, zip code tabulation area:62563",51163.0,124467,19.5,32.6,2.1,5567,282,476,534,473,103,163,358,280,258,448,368,434,374,411,298,114,67,126,96.0,1.6,0.1,0.1,1.8,62563
"ZCTA5 62573: Summary level: 860, zip code tabulation area:62573",34864.0,74504,26.1,21.7,9.4,1803,28,116,216,220,129,41,101,99,123,117,133,104,78,170,49,25,16,38,95.0,0.4,0.0,0.0,2.9,62573
"ZCTA5 62611: Summary level: 860, zip code tabulation area:62611",35712.0,77623,39.4,17.0,1.9,1108,37,74,83,38,48,47,116,69,69,69,68,60,124,69,39,50,19,29,97.3,0.0,0.0,0.0,3.7,62611
"ZCTA5 62613: Summary level: 860, zip code tabulation area:62613",47397.0,105089,28.9,19.1,3.7,3862,224,344,262,266,221,157,226,386,177,206,309,259,314,159,177,89,63,23,96.6,0.1,0.8,0.4,1.7,62613
"ZCTA5 62630: Summary level: 860, zip code tabulation area:62630",34500.0,79731,30.0,8.7,7.1,430,9,22,38,26,12,7,82,11,8,28,36,49,58,30,13,1,0,0,99.5,0.5,0.0,0.0,1.4,62630
"ZCTA5 62047: Summary level: 860, zip code tabulation area:62047",25436.0,70081,35.7,7.5,2.2,1691,171,39,206,99,46,70,141,100,82,145,126,59,109,99,75,34,69,21,95.4,0.8,0.0,2.5,2.6,62047
"ZCTA5 62053: Summary level: 860, zip code tabulation area:62053",25900.0,54385,44.1,3.4,7.3,550,27,34,59,55,51,10,24,24,19,57,35,26,25,37,9,27,17,14,99.3,0.4,0.2,0.2,1.5,62053
"ZCTA5 62058: Summary level: 860, zip code tabulation area:62058",30532.0,56418,48.2,7.7,7.1,704,27,38,21,22,28,40,48,56,38,40,50,76,44,42,38,38,23,35,97.7,0.0,2.3,0.0,1.8,62058
"ZCTA5 62061: Summary level: 860, zip code tabulation area:62061",40568.0,85762,24.5,22.6,4.0,1631,124,131,84,43,47,181,87,101,133,73,64,83,127,140,118,49,23,23,98.3,0.0,0.0,1.0,1.6,62061
"ZCTA5 62062: Summary level: 860, zip code tabulation area:62062",41310.0,99532,19.5,29.1,4.1,8078,443,282,472,342,458,638,265,530,527,627,613,448,702,383,498,289,245,316,91.2,4.1,0.0,2.4,2.4,62062
"ZCTA5 62070: Summary level: 860, zip code tabulation area:62070",-666666666.0,-999999999,37.5,0.0,-666666666.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,100.0,0.0,0.0,0.0,0.0,62070
"ZCTA5 62082: Summary level: 860, zip code tabulation area:62082",26380.0,54239,48.8,7.7,3.0,2742,151,176,175,111,146,237,204,159,96,204,206,166,252,98,161,85,57,58,94.1,4.9,0.0,0.0,0.7,62082
"ZCTA5 62084: Summary level: 860, zip code tabulation area:62084",25980.0,61796,32.0,9.9,2.6,1511,98,79,74,88,58,105,101,101,87,125,116,92,96,87,78,63,33,30,95.8,1.6,0.5,0.7,1.5,62084
"ZCTA5 62085: Summary level: 860, zip code tabulation area:62085",19934.0,49216,40.2,9.8,11.8,162,22,10,19,5,14,2,20,5,8,11,2,4,19,4,2,7,2,6,92.0,0.0,0.0,0.6,3.1,62085
"ZCTA5 62086: Summary level: 860, zip code tabulation area:62086",30500.0,59120,44.9,8.4,7.6,1224,74,59,78,76,8,62,48,86,93,100,122,88,75,70,83,64,33,5,98.4,0.0,0.0,1.1,0.7,62086
"ZCTA5 62633: Summary level: 860, zip code tabulation area:62633",26429.0,60565,56.0,6.0,11.4,562,28,21,45,32,20,16,16,28,36,18,33,79,47,16,29,40,45,13,91.5,0.0,0.0,0.0,8.5,62633
"ZCTA5 62634: Summary level: 860, zip code tabulation area:62634",40040.0,79377,26.0,22.9,4.9,843,78,44,72,50,48,31,72,39,84,50,47,59,46,49,37,10,12,15,97.4,0.0,0.0,0.7,0.9,62634
"ZCTA5 62639: Summary level: 860, zip code tabulation area:62639",29904.0,89933,28.9,27.9,9.3,294,31,13,6,7,33,0,8,15,23,12,15,6,10,35,13,38,23,6,100.0,0.0,0.0,0.0,0.0,62639
"ZCTA5 62665: Summary level: 860, zip code tabulation area:62665",26744.0,53460,53.4,10.3,4.2,1399,62,83,105,80,69,64,67,123,70,98,111,87,81,108,103,44,24,20,98.1,0.0,0.0,0.0,0.7,62665
"ZCTA5 62673: Summary level: 860, zip code tabulation area:62673",34500.0,68723,49.0,1.6,11.4,416,30,34,16,20,8,68,13,12,19,16,38,32,31,15,15,12,10,27,100.0,0.0,0.0,0.0,0.0,62673
"ZCTA5 62674: Summary level: 860, zip code tabulation area:62674",27167.0,59884,40.9,7.4,9.0,1393,33,65,101,107,26,26,25,113,99,119,142,106,84,103,83,66,48,47,98.2,0.1,0.0,0.0,1.9,62674
