latitude,longitude,zipcode,time_to_CBD,distance_to_CBD
41.88753473,-87.62029244,60601,463,3213
41.88736699,-87.618458,60601,451,3059
41.88522064,-87.61299777,60601,509,3220
41.88604891,-87.61584685,60601,588,2325
41.88496687,-87.62476572,60601,388,1466
41.88572066,-87.63387493,60601,315,1283
41.88414729,-87.61379279,60602,454,2644
41.88415457,-87.63325338,60602,337,1211
41.88436611,-87.62355012,60602,409,2223
41.88252134,-87.62063732,60602,386,1837
41.88245438,-87.62507052,60602,283,1127
41.88285644,-87.62211933,60602,357,1811
41.88375194,-87.61992846,60602,404,2110
41.87922089,-87.62029613,60603,290,1415
41.8819225,-87.63155867,60603,224,820
41.88118887,-87.63167862,60603,204,736
41.88186965,-87.62722047,60603,217,931
41.88058417,-87.62458513,60603,238,985
41.87843384,-87.61924217,60603,302,1438
41.88168319,-87.61714488,60603,488,3065
41.88001249,-87.62936638,60603,236,974
41.87967526,-87.61810001,60603,336,1731
41.88049224,-87.63035557,60603,258,947
41.87774516,-87.63229832,60604,105,412
41.87796276,-87.61937386,60604,300,1424
41.87775667,-87.6168202,60604,349,1679
41.87809721,-87.62764958,60604,194,756
41.87761822,-87.62166081,60604,288,1398
41.87785049,-87.63005231,60604,53,155
41.87773139,-87.62006098,60604,265,1249
41.86576127,-87.62753969,60605,476,1866
41.87167948,-87.62223492,60605,332,1533
41.86770943,-87.63191431,60605,484,3517
41.86367166,-87.6274898,60605,462,2847
41.85968198,-87.60710549,60605,875,4081
41.8653336,-87.62686131,60605,388,1644
41.8716955,-87.63234876,60605,282,1018
41.87724137,-87.63458519,60606,181,764
41.87979727,-87.6378087,60606,388,1468
41.88494532,-87.63752235,60606,370,1473
41.88745123,-87.63525682,60606,608,2345
41.87842728,-87.63602956,60606,154,637
41.88662438,-87.63875941,60606,445,1881
41.88363001,-87.63804264,60606,318,1357
41.88272667,-87.63420821,60606,250,980
41.88741379,-87.63553177,60606,606,2335
41.87710325,-87.6346406,60606,180,760
41.88677758,-87.65552651,60607,591,3951
41.8727052,-87.63739857,60607,428,1773
